no,tango,kana,en,zh,vi
0001,愛,あい,love,爱,tình yêu
0002,愛情,あいじょう,affection,爱，感情,"tình yêu thương, tình cảm"
0003,アイデア/アイディア,,idea,主意,"ý tưởng, sáng kiến"
0004,握手,あくしゅ,handshake,握手,bắt tay
0005,アクセス,,access,连接，访问,truy cập
0006,アクセント,,accent,重音，声调,trọng âm
0007,あちらこちら,,here and there,到处，处处,"khắp nơi, đây đó, chỗ này chỗ kia"
0008,集まり,あつまり,gathering,集会，汇合,"sự tập trung, tập hợp, buổi gặp mặt"
0009,宛名,あてな,address,收件人姓名（住址）,"tên, địa chỉ người nhận"
0010,後片付け,あとかたづけ,"cleanup, clearing away",事后整理,dọn dẹp
0011,アドバイス,,advice,建议,lời khuyên
0012,穴,あな,hole,孔，洞,"hố, lỗ, lỗ thủng"
0013,余り,あまり,"leftover, remainder",剩余的，多余的,"thừa, dư"
0014,アンケート,,"questionnaire, survey",问卷调查,"bản điều tra, phiếu điều tra"
0015,いたずら,,mischief,（搞）恶作剧,nghịch ngợm
0016,一部,いちぶ,part,一部分,một phần
0017,一瞬,いっしゅん,a moment/second,一瞬间,"khoảnh khắc, trong nháy mắt"
0018,違反,いはん,"breach, violation",违反,vi phạm
0019,イベント,,event,活动,sự kiện
0020,イメージ,,image,形象，印象，产生了……印象,"hình ảnh, hình dung, ấn tượng"
0021,印刷,いんさつ,print,印刷,"in ấn, in"
0022,印象,いんしょう,impression,印象,ấn tượng
0023,インタビュー,,interview,采访,phỏng vấn
0024,うそ,,lie,谎话,"nói dối, dối trá"
0025,内側,うちがわ,inside,内侧,phía bên trong
0026,エアメール,,airmail,航空邮件,đường hàng không
0027,影響,えいきょう,influence,影响,ảnh hưởng
0028,営業,えいぎょう,"business operation, sales",营业,"kinh doanh, mở cửa"
0029,エコ（エコロジー）,,eco (ecology),环保,sinh thái học
0030,エネルギー,,energy,能源,năng lượng
0031,オイル,,oil,油，石油,"dầu, dầu mỡ"
0032,（お）祝い,（お）いわい,"celebration, (congratulatory) gift",祝贺（礼物）,"lời chúc, quà chúc mừng"
0033,応援,おうえん,"support, cheer",加油，助威,"cổ vũ, cổ động"
0034,大型,おおがた,large size,大型,"cỡ to, loại to"
0035,オーケー,,"okay, fine",可以，答应,"đồng ý, ok"
0036,おじぎ,,bow,鞠躬，行礼,sự cúi chào
0037,おしゃべり,,chat,聊天,"tán gẫu, buôn chuyện"
0038,落とし物,おとしもの,lost property,遗失的东西,đồ đánh rơi
0039,思い出,おもいで,memory,回忆,kỉ niệm
0040,オリンピック,,Olympics,奥运会,olympic
0041,カード,,"card, credit card",卡,thẻ
0042,開会,かいかい,opening of a meeting,开会,khai mạc
0043,解決,かいけつ,"solution, settlement",解决,giải quyết
0044,外出,がいしゅつ,going out,外出,đi ra ngoài
0045,改正,かいせい,"revision, amendment",修改，修正,"sửa chữa, sửa đổi"
0046,解説,かいせつ,explanation,解说,giải thích
0047,回転,かいてん,"revolving, spin",旋转,"xoay vòng, quay vòng"
0048,ガイドブック,,guidebook,旅行指南,sách hướng dẫn du lịch
0049,書留,かきとめ,registered mail,挂号信,gửi đảm bảo
0050,拡大,かくだい,"enlargement, expansion",扩大,"khuếch đại, phóng to"
0051,家事,かじ,housework,家务,việc nhà
0052,貸し出し,かしだし,lending,借出,cho mượn
0053,数,かず,number,数量,"số, lượng"
0054,型,かた,"model, design, type",形状,"kiểu, kiểu dáng"
0055,片方,かたほう,"one of two, one side",一方，一只,"1 bên, một phía, một chiếc"
0056,カタログ,,catalog,目录,"catalogue, quyển giới thiệu"
0057,価値,かち,value,价值,giá trị
0058,カット,,cut,剪，切,cắt
0059,活動,かつどう,"action, activity",活动,hoạt động
0060,我慢,がまん,"patience, endurance",忍耐，忍受,"chịu đựng, cố gắng"
0061,神,かみ,god,神,"thần thánh, thần linh"
0062,空,から,empty,空,"trống, rỗng, trống không, trống rỗng"
0063,革,かわ,leather,皮革,da
0064,歓迎,かんげい,welcome,欢迎,"hoan nghênh, chào mừng"
0065,観光,かんこう,sightseeing,观光,tham quan
0066,観察,かんさつ,observation,观察,quan sát
0067,感じ,かんじ,"impression, feeling",感觉,"cảm giác, cảm nhận, thấy"
0068,感謝,かんしゃ,"gratitude, thankfulness",感谢,"cảm ơn, biết ơn"
0069,感情,かんじょう,"feeling, emotion",感情,"tình cảm, cảm xúc"
0070,感心,かんしん,admiration,赞美，赞赏,"cảm tình, cảm kích"
0071,関心,かんしん,"interest, concern",关心，感兴趣,"quan tâm, đam mê"
0072,完成,かんせい,completion,完成，完工,hoàn thành
0073,感想,かんそう,"impression, opinion",感想,"cảm tưởng, suy nghĩ"
0074,感動,かんどう,"deep impression, moving",感动，激动,cảm động
0075,乾杯,かんぱい,toast,干杯,"cạn chén, nâng ly, cụng ly"
0076,管理,かんり,management,管理,quản lí
0077,関連,かんれん,"connection, relation",关联，相关,liên quan
0078,機会,きかい,chance,机会,cơ hội
0079,効きめ,ききめ,effect,效果,tác dụng
0080,帰国,きこく,returning to one’s home country,回国,về nước
0081,記事,きじ,article,新闻，报道,"ký sự, bài báo, bài viết"
0082,技術,ぎじゅつ,technology,技术,"kỹ thuật, khoa học kỹ thuật"
0083,期待,きたい,expectation,期待，期望,"kì vọng, hi vọng"
0084,帰宅,きたく,returning home,回家,về nhà
0085,貴重品,きちょうひん,valuables,贵重物品,"đồ có giá trị, đồ quý"
0086,記入,きにゅう,"entry, filling out",填写，写上,"ghi vào, nhập vào, ghi"
0087,記念,きねん,commemoration,纪念,kỉ niệm
0088,希望,きぼう,"wish, hope",希望，期望,"nguyện vọng, mong muốn"
0089,基本,きほん,basic,基本,"cơ bản, cơ sở"
0090,義務,ぎむ,"duty, responsibility",义务,"nghĩa vụ, bổn phận"
0091,疑問,ぎもん,"question, doubt",疑问,"nghi vấn, hoài nghi, câu hỏi"
0092,休憩,きゅうけい,break,休息,nghỉ giải lao
0093,急用,きゅうよう,urgent business/matter,急事,việc gấp
0094,行事,ぎょうじ,event,仪式，活动,"lễ hội, sự kiện"
0095,競争,きょうそう,competition,竞争，比赛,"cạnh tranh, thi đua, thi"
0096,共通,きょうつう,common,共同,"chung, giống nhau"
0097,協力,きょうりょく,cooperation,协作，合作,"hợp tác, hợp lực"
0098,行列,ぎょうれつ,"line, queue",排队，队伍,"hàng người, đoàn người"
0099,許可,きょか,permission,许可,"cho phép, phê duyệt, cấp phép"
0100,漁業,ぎょぎょう,fishing industry,渔业,ngư nghiệp
0101,距離,きょり,distance,距离,cự li
0102,記録,きろく,record,记录,"kỉ lục, ghi chép"
0103,金,きん,gold,金,"tiền, vàng"
0104,銀,ぎん,silver,银,bạc
0105,金庫,きんこ,safe,保险柜,"két, két sắt"
0106,近視,きんし,"near-sighted, short-sighted",近视,cận thị
0107,金属,きんぞく,metal,金属,kim loại
0108,緊張,きんちょう,"strain, stress, tension",紧张,"căng thẳng, hồi hộp"
0109,具合,ぐあい,"condition, state",状态，情况,"tình trạng, sức khoẻ"
0110,工夫,くふう,device,设法，想办法,"cố gắng, công phu, nỗ lực"
0111,区別,くべつ,distinction,区别,phân biệt
0112,クリーニング,,cleaning,洗衣服，干洗,giặt là
0113,クリック,,click,点击,kích vào
0114,苦労,くろう,labor,辛苦，操心,"khổ công, gian khổ, vất vả"
0115,経営,けいえい,management,经营,kinh doanh
0116,敬語,けいご,honorific language,敬语,kính ngữ
0117,掲示,けいじ,"bulletin, notice",布告，公示,thông báo
0118,景色,けしき,"landscape, scenery, view",景色,phong cảnh
0119,結果,けっか,result,结果,kết quả
0120,決心,けっしん,"determination, resolution",决心,quyết tâm
0121,欠席,けっせき,absence,缺席,"vắng mặt, nghỉ"
0122,決定,けってい,decision,决定,quyết định
0123,欠点,けってん,"fault, weak point",缺点,khuyết điểm
0124,結論,けつろん,conclusion,结论,kết luận
0125,券,けん,ticket,券,"vé, phiếu"
0126,見学,けんがく,"study tour, observation tour",参观,tham quan học tập
0127,研修,けんしゅう,training,进修,"thực tập, học việc"
0128,建設,けんせつ,construction,建设,"xây dựng, kiến thiết"
0129,建築,けんちく,architecture,建筑,kiên trúc
0130,憲法,けんぽう,constitution,宪法,hiến pháp
0131,権利,けんり,right,权利,quyền lợi
0132,原料,げんりょう,"raw material, basic ingredient",原料,nguyên liệu
0133,講演,こうえん,lecture,演说，演讲,"bài giảng, bài diễn thuyết"
0134,効果,こうか,good effect,效果,hiệu quả
0135,交換,こうかん,exchange,交换,"trao đổi, đổi"
0136,工業,こうぎょう,industry,工业,công nghiệp
0137,航空便,こうくうびん,airmail,航空邮件,đường hàng không
0138,合計,ごうけい,total,合计,"tổng cộng, tổng số"
0139,広告,こうこく,advertisement,（做）广告,quảng cáo
0140,交際,こうさい,"companionship, association",交往,"tìm hiểu, giao thiệp, quan hệ"
0141,工事,こうじ,construction work,工事，施工,thi công
0142,行動,こうどう,"action, behavior",行动,"hành động, làm"
0143,公立,こうりつ,public,公立,công lập
0144,交流,こうりゅう,"interchange, interraction",交流,giao lưu
0145,コース,,course,路线,"khóa học, lộ trình"
0146,コーナー,,"corner, area",角落,góc
0147,ゴール,,"goal, finish line",（到达）终点，目标,"đích, khung thành"
0148,誤解,ごかい,"misunderstanding, mistake",误解,"hiểu lầm, hiểu sai"
0149,小型,こがた,small-size,小型,"cỡ nhỏ, kích thước nhỏ"
0150,国産,こくさん,"domestically made, home-grown",国产,sản xuất trong nước
0151,国立,こくりつ,national,国立,quốc lập
0152,心,こころ,"heart, mind",心,"trái tim, tấm lòng"
0153,故障,こしょう,breakdown,故障,"hỏng, trục trặc"
0154,国会,こっかい,"the Diet, national assembly",国会,quốc hội
0155,小包,こづつみ,package,小包裹,"bưu kiện, bưu phẩm"
0156,粉,こな,"powder, flour",粉,bột
0157,ごぶさた,,not keeping in touch,好久不见,"lâu lắm mới gặp, lâu lắm mới liên lạc"
0158,コミュニケーション,,communication,交流,sự giao tiếp
0159,ゴム,,"rubber, elastic",橡胶,cao su
0160,小麦,こむぎ,wheat,小麦,lúa mì
0161,コンクール,,contest,竞赛，比赛,cuộc thi
0162,コンクリート,,concrete,混凝土,bê tông
0163,サービス,,service,服务,dịch vụ
0164,最高,さいこう,highest,最高，最好，最杰出,"cao nhất, tuyệt vời nhất"
0165,最大,さいだい,biggest,最大,"to nhất, lớn nhất"
0166,最低,さいてい,lowest,最低，最差,"thấp nhất, tồi tệ nhất"
0167,裁判,さいばん,trial,审判,sự xét xử
0168,材料,ざいりょう,"ingredients, material",材料,nguyên liệu
0169,サイレン,,siren,警笛,"còi, còi báo động"
0170,サイン,,"sign, signature",签名,chữ kí
0171,作業,さぎょう,"work, operation",作业，工作,"công việc, thao tác"
0172,作品,さくひん,"work of art, production",作品,tác phẩm
0173,撮影,さつえい,"filming, shooting",摄影,"quay phim, chụp ảnh"
0174,騒ぎ,さわぎ,"commotion, disturbance",骚乱，喧闹,"sự làm ồn, sự ồn ào"
0175,参加,さんか,participation,参加,tham gia
0176,産業,さんぎょう,industry,产业,ngành nghề
0177,残業,ざんぎょう,overtime,加班,"làm thêm giờ, tăng ca"
0178,参考,さんこう,"reference, consultation",参考,tham khảo
0179,賛成,さんせい,"approval, agreement",赞成,"tán thành, đồng ý"
0180,産地,さんち,producing area,产地,"nơi sản xuất, nơi thu hoạch"
0181,資源,しげん,natural resource(s),资源,tài nguyên
0182,事件,じけん,"incident, happening, case",事件，案件,"sự việc, vụ việc"
0183,指示,しじ,"instruction, direction",指示，吩咐,"chỉ thị, chỉ định"
0184,事実,じじつ,"truth, facts",事实,sự thật
0185,事情,じじょう,"circumstances, conditions",缘故，缘由，情况,"lý do riêng, hoàn cảnh"
0186,自信,じしん,confidence,自信,tự tin
0187,時速,じそく,speed per hour,时速,vận tốc
0188,支度,したく,preparation,准备,"sự chuẩn bị, sửa soạn"
0189,失業,しつぎょう,unemployment,失业,thất nghiệp
0190,実際,じっさい,"reality, actual situation",实际，现实,thực tế
0191,実力,じつりょく,(real) ability,实力,thực lực
0192,支店,してん,branch (store or office),分店,chi nhánh
0193,指導,しどう,"guidance, leadership",指导，指点,"hướng dẫn, chỉ đạo"
0194,事務,じむ,office work,事务，办公,văn phòng
0195,締め切り,しめきり,deadline,截止,"hạn, hạn nộp"
0196,じゃま,,"obstacle, hindrance",打扰,"vướng, vướng víu, phiền hà"
0197,じゃんけん,,"the game of “stone, paper, scissors”",猜拳,oẳn tù tì
0198,集会,しゅうかい,"meeting, gathering",集会,"tập hợp, tập trung, mít tinh"
0199,宗教,しゅうきょう,religion,宗教,tôn giáo
0200,集合,しゅうごう,gathering,集合,"tập hợp, tập trung"
0201,就職,しゅうしょく,getting a job,就职,"tìm việc, xin việc"
0202,集中,しゅうちゅう,concentration,集中,tập trung
0203,充電,じゅうでん,charging (electricity),充电,sạc điện
0204,修理,しゅうり,repair,修理,"chỉnh lí, sửa chữa"
0205,主義,しゅぎ,"principle, doctrine",主义，主张,"chủ nghĩa, trường phái"
0206,縮小,しゅくしょう,"reduction, decrease",缩小,"sự lén lại, co nhỏ lại"
0207,受信,じゅしん,"reception, receiving",收件,sự tiếp nhận tín hiệu
0208,出勤,しゅっきん,attendance (at work),上班,sự đi làm
0209,出場,しゅつじょう,"participation (in a game, competition, etc.)",出场，上场,"trình diễn, ra mắt, tham dự"
0210,出張,しゅっちょう,business trip,出差,"công tác, kinh doanh"
0211,種類,しゅるい,"kind, type, variety",种类,"chủng loại, đồng loại"
0212,順序,じゅんじょ,"order, sequence",顺序,"theo thứ tự, thứ bậc"
0213,順番,じゅんばん,"turn, order",顺序,"hứ tự, lần lượt"
0214,使用,しよう,"use, employment",使用,"sử dụng, tận dụng"
0215,商業,しょうぎょう,"commerce, trade",商业,"buôn bán, thương mại"
0216,条件,じょうけん,"condition, terms",条件,"điều kiện, điều khoản"
0217,常識,じょうしき,common sense,常识,kiến thức thông thường
0218,招待,しょうたい,invitation,招待，邀请,buổi chiêu đãi phải mời
0219,状態,じょうたい,"condition, state",状态,trạng thái
0220,冗談,じょうだん,joke,笑话，玩笑,"tròi đùa, nói đùa"
0221,承知,しょうち,"consent, agreement",明白，知道,"chấp nhận, đồng ý, biết rõ"
0222,商品,しょうひん,"merchandise, goods",商品,"hàng hóa, sản phẩm"
0223,情報,じょうほう,information,消息，信息,"thông tin, tin tức"
0224,証明書,しょうめいしょ,"certificate, diploma, transcript",证明，证书,"chứng minh thư, chứng chỉ, giấy chứng nhận"
0225,正面,しょうめん,the front,正面，对面,"chính diện, mặt chính, mặt tiền"
0226,職場,しょくば,workplace,工作单位,nơi làm việc
0227,ショック,,shock,打击,"sốc, bất ngờ, sửng sốt"
0228,署名,しょめい,"sign, signature",签名,"bí danh chữ kí, đề tên"
0229,書類,しょるい,document,文件,"hồ sơ, tài liệu, giấy tờ"
0230,私立,しりつ/わたくしりつ,private,私立,tư lập
0231,資料,しりょう,"materials, data",资料,"tài liệu, tư liệu"
0232,印,しるし,mark,记号,"dấu, dấu hiệu, biểu tượng"
0233,シングル,,single,单人，单个,"đơn lẻ, độc thân, đĩa đơn"
0234,人生,じんせい,life,人生,"nhân sinh, cuộc sống, cuộc đời"
0235,進歩,しんぽ,progress,进步,"tiến bộ, tiên tiến"
0236,信用,しんよう,"trust, confidence",相信，信任,"lòng tin, tin tưởng, trung thành"
0237,心理,しんり,mental/psychological state,心理,tâm lý
0238,スケジュール,,schedule,日程,"lịch trình, thời khóa biểu"
0239,スタイル,,"style, figure",风格，身材,"thân hình, kiểu cách, loại"
0240,スピーチ,,speech,演讲，发言,"bài văn, diễn thuyết"
0241,すり,,pickpocket,扒手,trộm móc túi
0242,制限,せいげん,limit,限制,hạn chế
0243,成功,せいこう,success,成功,thành công
0244,生産,せいさん,production,生产,"sinh sản, sản suất"
0245,政治,せいじ,politics,政治,chính trị
0246,性質,せいしつ,"nature, property, capacity",性质,"tính chất, tính cách"
0247,製造,せいぞう,"manufacture, production",制造,"chế tạo, sản suất"
0248,成長,せいちょう,"growth, development",增长,"trưởng thành, tăng trưởng"
0249,制度,せいど,system,制度,chế độ
0250,政党,せいとう,political party,政党,"chính đảng, đảng"
0251,製品,せいひん,manufactured goods,产品,hàng hóa thành phẩm
0252,政府,せいふ,government,政府,chính phủ
0253,西洋,せいよう,the West,西方,phương tây
0254,整理,せいり,"putting in order, sorting out",整理,"chỉnh lý, sắp xếp"
0255,セーフ,,safe,安全，实现目标,an toàn
0256,セール（バーゲンセール）,,sale,促销,"bán hàng, giảm giá"
0257,石炭,せきたん,coal,煤炭,than đá
0258,責任,せきにん,"responsibility, fault",责任,trách nhiệm
0259,石油,せきゆ,oil,石油,dầu mỏ
0260,選挙,せんきょ,election,选举,bầu cử
0261,前進,ぜんしん,advance,前进,"tiến lên, đi lên, tiến tới"
0262,全体,ぜんたい,"whole, entire",全体，整体,"toàn bộ, toàn thể"
0263,宣伝,せんでん,"publicity, advertisement",宣传,tuyên truyền
0264,全力,ぜんりょく,"all one’s power, all one’s might",全力,"toàn lực, dốc hết sức"
0265,増加,ぞうか,increase,增加,"tăng, gia tăng, tăng lên"
0266,葬式,そうしき,funeral,葬礼,"đám tang, tang lễ, đám ma"
0267,送信,そうしん,"send, transmission",发送,gửi
0268,想像,そうぞう,imagination,想象,"tưởng tượng, hình dung"
0269,送別会,そうべつかい,farewell party,欢送会,tiệc chia tay
0270,速達,そくたつ,express delivery,快递,gửi chuyển phát nhanh
0271,外側,そとがわ,outside,外侧,"phía ngoài, bên ngoài"
0272,その他,そのた/そのほか,"etc., and others",其他，此外,"ngoài ra, ngoài"
0273,尊敬,そんけい,respect,尊敬,"tôn kính, kính trọng"
0274,対,たい,to,对，对比，对立,với
0275,台,だい,stand,台，座,"kệ, giá đỡ"
0276,題,だい,"title, subect",题目,"chủ đề, đầu đề, tiêu đề"
0277,大会,たいかい,"tournament, meet",大会,đại hội
0278,体操,たいそう,"gynamastics, physical exercise",体操,"thể dục, vận động"
0279,態度,たいど,"attitude, manner",态度,thái độ
0280,タイトル,,title,标题,"tiêu đề, đầu đề"
0281,代表,だいひょう,representative,代表,"đại biểu, đại diện"
0282,大部分,だいぶぶん,"most, majority",大部分,đại bộ phận
0283,逮捕,たいほ,arrest,逮捕,bắt giữ
0284,題名,だいめい,title,题目,"tên, đầu đề"
0285,ダウンロード,,download,下载,"tải về, tải"
0286,頼み,たのみ,"request, favor",请求,"nhờ vả, yêu cầu, thỉnh cầu"
0287,ダブル,,double,双,"phòng đôi, đôi, gấp đôi"
0288,玉,たま,ball,球,bóng
0289,担当,たんとう,charge,负责,"phụ trách, đảm nhiệm"
0290,チェック,,check,核对,kiểm tra
0291,チェックアウト,,check out,退房,trả phòng khách sạn
0292,チェックイン,,check in,登记（入住），登机,"vào (thủ tục vào khách sạn, thủ tục lên máy bay)"
0293,違い,ちがい,difference,差别,sự khác biệt
0294,チャンス,,chance,机会,cơ hội
0295,注目,ちゅうもく,"paying attention, focus",关注，关心,quan tâm
0296,注文,ちゅうもん,order,订货，要求，点菜,"đặt hàng, gọi món"
0297,朝刊,ちょうかん,morning paper,早报,báo buổi sáng
0298,調査,ちょうさ,"investigation, survey",调查,điều tra
0299,調子,ちょうし,condition,情况,"tình hình, tình trạng"
0300,ツアー,,tour,旅行,"tua, chuyến đi"
0301,追加,ついか,addition,追加，补充,thêm
0302,ツイン,,twin,成对，成双,"đôi, phòng đôi, sinh đôi"
0303,通勤,つうきん,commuting,上下班,đi làm
0304,通知,つうち,notification,通知,thông báo
0305,通話,つうわ,telephone call,通话,nói chuyện điện thoại
0306,都合,つごう,convenience,状况，缘故，安排,"điều kiện, thời gian"
0307,続き,つづき,"continuation, sequel",继续，连续,"tiếp tục, phần tiếp theo"
0308,勤め,つとめ,work,工作,"làm việc, đi làm"
0309,定員,ていいん,"fixed number, capacity",规定的人数,số người cho phép
0310,低下,ていか,"fall, decline",低下，下降,giảm sút
0311,提出,ていしゅつ,submission,提出，提交,nộp
0312,程度,ていど,degree,程度,mức độ
0313,テーマ,,"theme, subject",主题,chủ đề
0314,出来事,できごと,"happening, incident",发生的事情,"việc, sự việc"
0315,デザイン,,design,设计,thiết kế
0316,デジタル,,digital,电子的，数字的,điện tử
0317,鉄,てつ,iron,铁,sắt
0318,手作り,てづくり,"handmade, homemade",手工,"tự tay làm, làm bằng tay"
0319,手伝い,てつだい,"help, assistance",帮忙,giúp đỡ
0320,手続き,てつづき,"procedure, formalities",手续,thủ tục
0321,出迎え,でむかえ,meeting,迎接,đón
0322,点,てん,point,点,điểm
0323,電源,でんげん,electric power source,电源,"nguồn điện, nguồn"
0324,伝言,でんごん,message,传话，带口信,lời nhắn
0325,伝統,でんとう,tradition,传统,truyền thống
0326,電波,でんぱ,electronic/radio waves,电波，信号,sóng
0327,銅,どう,"copper, bronze",铜,đồng
0328,当然,とうぜん,"naturally, of course",理所应当,đương nhiên
0329,投票,とうひょう,"ballot, voting",投票,bỏ phiếu
0330,特色,とくしょく,distinctive feature,特色,đặc sắc
0331,特徴,とくちょう,"characteristic, feature",特征,"đặc điểm, đặc trưng"
